Active Alarm
Perceived Severity,Alarm Type,NE,Location,Additional NE,Additional Location,Alarm Code,Specific Problem,Raised Time,Changed Time,NE Type,Remark,ACK State,(Un)ACK Time,(Un)ACK User ID,(Un)ACK System ID,Comment Time,Comment,Comment User ID,Comment System ID,Product,Alarm Aid,Alarm ID,NE IP,Link,NE Group,NE Agent,System Type,Additional Information,Path Name,Custom Attribute 1,Custom Attribute 2,Custom Attribute 3,Custom Attribute 4,Custom Attribute 5,Custom Attribute 6,Custom Attribute 7,Custom Attribute 8,Custom Attribute 9,Custom Attribute 10
Major,Equipment Alarm,3G_QNN064M_BDH(2),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 00:00:33,"",ME(MO SDR),U RNCId: 3009; Control voltage abnormal; Board serial number: 246854300233; U nodeBId:2,Unacknowledged,"","","","","","","",UMTS,1346,1662661135072,10.248.199.194,"","MO_OMCB_RNC_3009Z_BDH,OMCB-3009(3009)",MO_OMCB_RNC_3009Z_BDH,Platform Alarm,"","",2,3G_QNN064M_BDH,SDR,2,3G_QNN064M_BDH,CC,"product:public,wcdma",uid=2#uuserlabel=#ufid=2,Lost of synchronization,""
Major,Equipment Alarm,3G_TSN037M_BDH(477),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 00:01:28,"",ME(MO SDR),U RNCId: 3350; Control voltage abnormal; Board serial number: 254314600095; U nodeBId:477,Unacknowledged,"","","","","","","",UMTS,37542,1662661135074,10.248.200.104,"","OMCB_RNC_3002Z_PYN,Subnet(MO SDR)(3002)",OMCB_RNC_3002Z_PYN,Platform Alarm,"","",477,3G_TSN037M_BDH,SDR,477,3G_TSN037M_BDH,CC,"product:public,wcdma",uid=477#uuserlabel=#ufid=477,Lost of synchronization,""
Major,Equipment Alarm,SR-BDN014W-QBH(500443),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=3","","",Inter-board data link abnormal(198098314),The inter-board link is broken.,2023-07-04 00:02:05,"",ME(MO SDR),"G BSCId: 355; U RNCId: 3022; TDM corresponding board slot 5; Board serial number: 254437200512; U nodeBId:484,G siteId:304",Unacknowledged,"","","","","","","","UMTS,GSM",2910,1662661135075,10.225.165.118,"","MO SDR_OMMB3_VNPT,QBH(50000)",MO SDR_OMMB3_VNPT,Platform Alarm,"","",500443,SR-BDN014W-QBH,SDR,500443,SR-BDN014W-QBH,FS,"product:public,wcdma,gv3",uid=484#uuserlabel=#ufid=484#gid=304#guserlabel=#gfid=304#fddid=500443#fdduserlabel=SR-BDN014W-QBH#fddfid=500443#,Inter-board data link abnormal,""
Major,Quality of Service Alarm,4G-VTH001M-BDH(420040),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",LTE cell outage(198094419),"1. The S1 link is faulty. 2. The CC board, BP board, or RRU for the cell is faulty. 3. The cell is not configured successfully. 4. The clock is unlocked. 5. Product process running on the business load sharing auxiliary CC board is abnormal.",2023-07-04 00:02:34,"",ME(MO SDR),"Cell user label: 4G-VTH001R11-BDH, Cell ID: 17,  Caused by RRU board fault; Cell type: normal cell, 70001000; Board serial number: 708740200543; L eNBId:420040",Unacknowledged,"","","","","","","",LTE FDD,1169,1662661135076,10.225.117.167,"","MO SDR_OMMB2_VNPT,BDH(42000)",MO SDR_OMMB2_VNPT,LTE FDD Alarm,"","",420040,4G-VTH001M-BDH,CELL,17,4G-VTH001R11-BDH,CCC,"product:ltefdd,ltefdd",fddid=420040#fdduserlabel=4G-VTH001M-BDH#fddfid=420040,LTE cell outage,""
Critical,Processing Error Alarm,4G-VTH001M-BDH(420040),"Equipment=1,Rack(MO SDR)=61,Shelf(MO SDR)=1,Board(MO SDR)=1","","",The RRU link is broken(198097605),1. The optical fiber between the BBU and the RRU or between upper-level and lower-level RRUs is not operating properly. 2. The optical module of the RRU or the optical module of the uplink BBU is faulty. 3. The RRU is not powered. 4. The interface board of the BBU is faulty. 5. The RRU is faulty. 6. The lr line bit rate is not correctly set.,2023-07-04 00:02:40,"",ME(MO SDR),"The optical attenuation of the link corresponding to optical port 1 is too large; Board serial number: 219236381376; L eNBId:420040; Topology: Optical board=(1,1,8), Optical board port=3, Optical board port type is SFP, Fault board rack=61, Fault board main cascade=1; L: Cell ID=17",Unacknowledged,"","","","","","","",LTE FDD,1170,1662661135077,10.225.117.167,"","MO SDR_OMMB2_VNPT,BDH(42000)",MO SDR_OMMB2_VNPT,Platform Alarm,"","",420040,4G-VTH001M-BDH,RU,61,SubRack-1,R8862A S1800(B6A),"product:public,ltefdd",fddid=420040#fdduserlabel=4G-VTH001M-BDH#fddfid=420040,The RRU link is broken,""
Critical,Environmental Alarm,GU_STH021M_QNI(163),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1","","",Device temperature is high(198096400),1. The air filter is blocked. 2. The environmental temperature exceeds the allowed temperature range.,2023-07-04 00:03:06,"",ME(MO SDR),"G BSCId: 351; U RNCId: 3003; Slot 8; U nodeBId:163,G siteId:242",Unacknowledged,"","","","","","","","UMTS,GSM",511,1662661135079,10.248.213.84,"","MO_OMCB_RNC_3003Z_QNI,Subnet(MO SDR)(3003)",MO_OMCB_RNC_3003Z_QNI,Platform Alarm,"","",163,GU_STH021M_QNI,SDR,163,GU_STH021M_QNI,"","product:public,wcdma,gv3",uid=163#uuserlabel=#ufid=163#gid=242#guserlabel=#gfid=242,Device temperature is high,""
Major,Equipment Alarm,GU_DBN029M_QNM(30),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=2","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 00:03:16,"",ME(MO SDR),"G BSCId: 352; U RNCId: 3352; Control voltage abnormal; Board serial number: 254437701236; U nodeBId:30,G siteId:30",Unacknowledged,"","","","","","","","UMTS,GSM",7806,1662661135080,10.248.191.72,"","OMCB_RNC_3352Z_QNM,Subnet(MO SDR)(3352)",OMCB_RNC_3352Z_QNM,Platform Alarm,"","",30,GU_DBN029M_QNM,SDR,30,GU_DBN029M_QNM,CC,"product:public,wcdma,gv3",uid=30#uuserlabel=GU_DBN029M_QNM#ufid=30#gid=30#guserlabel=#gfid=30,Lost of synchronization,""
Major,Equipment Alarm,3G_GLH033W_QTI(1),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 00:03:29,"",ME(MO SDR),U RNCId: 3354; Control voltage abnormal; Board serial number: 254437700159; U nodeBId:1,Unacknowledged,"","","","","","","",UMTS,31519,1662661135081,10.248.179.178,"","MO_OMCB_RNC_3354Z_QTI,Subnet(MO SDR)(3354)",MO_OMCB_RNC_3354Z_QTI,Platform Alarm,"","",1,3G_GLH033W_QTI,SDR,1,3G_GLH033W_QTI,CC,"product:public,wcdma",uid=1#uuserlabel=#ufid=1,Lost of synchronization,""
Total Count:,8,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
