Active Alarm
Perceived Severity,Alarm Type,NE,Location,Additional NE,Additional Location,Alarm Code,Specific Problem,Raised Time,Changed Time,NE Type,Remark,ACK State,(Un)ACK Time,(Un)ACK User ID,(Un)ACK System ID,Comment Time,Comment,Comment User ID,Comment System ID,Product,Alarm Aid,Alarm ID,NE IP,Link,NE Group,NE Agent,System Type,Additional Information,Path Name,Custom Attribute 1,Custom Attribute 2,Custom Attribute 3,Custom Attribute 4,Custom Attribute 5,Custom Attribute 6,Custom Attribute 7,Custom Attribute 8,Custom Attribute 9,Custom Attribute 10
Critical,Equipment Alarm,4G-ALI008M-HUE(460298),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=13","","",Rectifier Failure Alarm(198092551),1. The normally open or closed setting of the alarm related to the dry contact is not correctly set.  2. The cable is not correctly connected or is faulty. 3. The dry contact device is faulty.,2023-07-04 08:34:33,"",ME(MO SDR),"Dry contact ID: 1; Board serial number: 731016900359; L eNBId:460298,N eNBId:460298",Unacknowledged,"","","","","","","","LTE FDD,NB-IoT",642,1662661136893,10.225.93.7,"","MO SDR_OMMB3_VNPT,HUE(46000)",MO SDR_OMMB3_VNPT,Platform Alarm,"","",460298,4G-ALI008M-HUE,SDR,460298,4G-ALI008M-HUE,SA,"product:public,ltefdd,NB-IoT",fddid=460298#fdduserlabel=4G-ALI008M-HUE#fddfid=460298#nid=460298#nuserlabel=4G-ALI008M-HUE#nfid=460298,User-defined dry contact alarm 2,""
Major,Equipment Alarm,GU_DBN023M_QNM(26),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 08:35:12,"",ME(MO SDR),"G BSCId: 352; U RNCId: 3352; Control voltage abnormal; Board serial number: 254178300017; U nodeBId:26,G siteId:26",Unacknowledged,"","","","","","","","UMTS,GSM",31195,1662661136899,10.248.191.195,"","OMCB_RNC_3352Z_QNM,Subnet(MO SDR)(3352)",OMCB_RNC_3352Z_QNM,Platform Alarm,"","",26,GU_DBN023M_QNM,SDR,26,GU_DBN023M_QNM,CC,"product:public,wcdma,gv3",uid=26#uuserlabel=GU_DBN023M_QNM#ufid=26#gid=26#guserlabel=#gfid=26,Lost of synchronization,""
Major,Equipment Alarm,3G_HNN074M_BDH(469),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 08:37:02,"",ME(MO SDR),U RNCId: 3350; Control voltage abnormal; Board serial number: 254178300966; U nodeBId:469,Unacknowledged,"","","","","","","",UMTS,13786,1662661136903,10.248.200.77,"","OMCB_RNC_3002Z_PYN,Subnet(MO SDR)(3002)",OMCB_RNC_3002Z_PYN,Platform Alarm,"","",469,3G_HNN074M_BDH,SDR,469,3G_HNN074M_BDH,CC,"product:public,wcdma",uid=469#uuserlabel=#ufid=469,Lost of synchronization,""
Minor,Equipment Alarm,SR-HNN023M-BDH(420191),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=13","","",Mains Failure Alarm(198092550),1. The normally open or closed setting of the alarm related to the dry contact is not correctly set.  2. The cable is not correctly connected or is faulty. 3. The dry contact device is faulty.,2023-07-04 08:37:05,"",ME(MO SDR),"G BSCId: 350; U RNCId: 3350; Dry contact ID: 0; Board serial number: 717861000883; U nodeBId:203,G siteId:238,L eNBId:420191",Unacknowledged,"","","","","","","","UMTS,GSM,LTE FDD",664,1662661136904,10.225.159.165,"","MO SDR_OMMB2_VNPT,BDH(42000)",MO SDR_OMMB2_VNPT,Platform Alarm,"","",420191,SR-HNN023M-BDH,SDR,420191,SR-HNN023M-BDH,SA,"product:public,wcdma,gv3,ltefdd",uid=203#uuserlabel=#ufid=203#gid=238#guserlabel=#gfid=238#fddid=420191#fdduserlabel=SR-HNN023M-BDH#fddfid=420191,Mains Failure Alarm,""
Critical,Equipment Alarm,SR-HNN023M-BDH(420191),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=13","","",Rectifier Failure Alarm(198092551),1. The normally open or closed setting of the alarm related to the dry contact is not correctly set.  2. The cable is not correctly connected or is faulty. 3. The dry contact device is faulty.,2023-07-04 08:37:11,"",ME(MO SDR),"G BSCId: 350; U RNCId: 3350; Dry contact ID: 1; Board serial number: 717861000883; U nodeBId:203,G siteId:238,L eNBId:420191",Unacknowledged,"","","","","","","","UMTS,GSM,LTE FDD",665,1662661136905,10.225.159.165,"","MO SDR_OMMB2_VNPT,BDH(42000)",MO SDR_OMMB2_VNPT,Platform Alarm,"","",420191,SR-HNN023M-BDH,SDR,420191,SR-HNN023M-BDH,SA,"product:public,wcdma,gv3,ltefdd",uid=203#uuserlabel=#ufid=203#gid=238#guserlabel=#gfid=238#fddid=420191#fdduserlabel=SR-HNN023M-BDH#fddfid=420191,Rectifier Failure Alarm,""
Minor,Equipment Alarm,UL-DHA011M-QTI(530276),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=13","","",Door Open(198092560),1. The normally open or closed setting of the alarm related to the dry contact is not correctly set.  2. The cable is not correctly connected or is faulty. 3. The dry contact device is faulty.,2023-07-04 08:37:40,"",ME(MO SDR),"U RNCId: 3005; Dry contact ID: 5; Board serial number: 741223201190; U nodeBId:335,L eNBId:530276,N eNBId:530276",Unacknowledged,"","","","","","","","UMTS,LTE FDD,NB-IoT",426,1662661136906,10.225.167.146,"","MO SDR_OMMB2_VNPT,QTI(53000)",MO SDR_OMMB2_VNPT,Platform Alarm,"","",530276,UL-DHA011M-QTI,SDR,530276,UL-DHA011M-QTI,SA,"product:public,wcdma,ltefdd,NB-IoT",uid=335#uuserlabel=#ufid=335##fddid=530276#fdduserlabel=UL-DHA011M-QTI#fddfid=530276#nid=530276#nuserlabel=UL-DHA011M-QTI#nfid=530276,User-defined dry contact alarm 11,""
Major,Equipment Alarm,GU_NTM004M_QNM(187),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=2","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 08:37:59,"",ME(MO SDR),"G BSCId: 353; U RNCId: 3353; Control voltage abnormal; Board serial number: 251967300237; U nodeBId:187,G siteId:187",Unacknowledged,"","","","","","","","UMTS,GSM",24468,1662661136908,10.248.192.150,"","OMCB_RNC_3353Z_QNM,Subnet(MO SDR)(3353)",OMCB_RNC_3353Z_QNM,Platform Alarm,"","",187,GU_NTM004M_QNM,SDR,187,GU_NTM004M_QNM,CC,"product:public,wcdma,gv3",uid=187#uuserlabel=#ufid=187#gid=187#guserlabel=#gfid=187,Lost of synchronization,""
Total Count:,7,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
