History Alarm
Perceived Severity,Alarm Type,NE,Location,Additional NE,Additional Location,Alarm Code,Specific Problem,Raised Time,Changed Time,NE Type,Remark,ACK State,(Un)ACK Time,(Un)ACK User ID,(Un)ACK System ID,Comment Time,Comment,Comment User ID,Comment System ID,Product,Alarm Aid,Alarm ID,NE IP,Link,NE Group,NE Agent,System Type,Additional Information,Duration(hh:mm:ss),Cleared Time,Clear User ID,Clear System ID,Path Name,Clear Type,Custom Attribute 1,Custom Attribute 2,Custom Attribute 3,Custom Attribute 4,Custom Attribute 5,Custom Attribute 6,Custom Attribute 7,Custom Attribute 8,Custom Attribute 9,Custom Attribute 10
Major,Equipment Alarm,3G_DPO041M_QNI(434),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-03 23:55:45,"",ME(MO SDR),U RNCId: 3351; Control voltage abnormal; Board serial number: 254399201107; U nodeBId:434,Unacknowledged,"","","","","","","",UMTS,6512,1662661135062,10.248.195.205,"","MO_OMCB_RNC_3351Z_QNI,Subnet(MO SDR)(3351)",MO_OMCB_RNC_3351Z_QNI,Platform Alarm,"",00:22:00,2023-07-04 00:17:45,"","","",Restoration upon Anti-shake,434,3G_DPO041M_QNI,SDR,434,3G_DPO041M_QNI,CC,"product:public,wcdma",uid=434#uuserlabel=#ufid=434,Lost of synchronization,""
Major,Equipment Alarm,GU_DXN029M_PYN(290),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-03 23:54:36,"",ME(MO SDR),"G BSCId: 351; U RNCId: 3007; Control voltage abnormal; Board serial number: 254314600627; U nodeBId:290,G siteId:290",Unacknowledged,"","","","","","","","UMTS,GSM",33993,1662661135064,10.248.201.110,"","OMCB_RNC_3007Z_PYN,Subnet(MO SDR)(3007)",OMCB_RNC_3007Z_PYN,Platform Alarm,"",00:22:08,2023-07-04 00:16:44,"","","",Restoration upon Anti-shake,290,GU_DXN029M_PYN,SDR,290,GU_DXN029M_PYN,CC,"product:public,wcdma,gv3",uid=290#uuserlabel=#ufid=290#gid=290#guserlabel=#gfid=290,Lost of synchronization,""
Major,Equipment Alarm,GU_TPC020M_QNM(275),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-03 23:57:04,"",ME(MO SDR),"G BSCId: 350; U RNCId: 3353; Control voltage abnormal; Board serial number: 254437700192; U nodeBId:275,G siteId:275",Unacknowledged,"","","","","","","","UMTS,GSM",10193,1662661135066,10.248.192.250,"","OMCB_RNC_3353Z_QNM,Subnet(MO SDR)(3353)",OMCB_RNC_3353Z_QNM,Platform Alarm,"",00:22:00,2023-07-04 00:19:04,"","","",Restoration upon Anti-shake,275,GU_TPC020M_QNM,SDR,275,GU_TPC020M_QNM,CC,"product:public,wcdma,gv3",uid=275#uuserlabel=#ufid=275#gid=275#guserlabel=#gfid=275,Lost of synchronization,""
Major,Processing Error Alarm,GU_QTH005M_QBH(254),"Equipment=1,Rack(MO SDR)=2,Shelf(MO SDR)=1,Board(MO SDR)=7","","",The board is being initialized(198092348),1. The board resetting command is executed. 2. The board is powered on. 3. The board automatically resets due to software error.,2023-07-04 00:15:01,"",ME(MO SDR),"G BSCId: 356; U RNCId: 3022; Board serial number: 254016400625; U nodeBId:254,G siteId:94",Unacknowledged,"","","","","","","","UMTS,GSM",12091,1662661135117,10.248.177.68,"","OMCB_RNC_3022Z_QBH,RNC3022_QBH(3022)",OMCB_RNC_3022Z_QBH,Platform Alarm,"",00:03:48,2023-07-04 00:18:49,"","","",Restoration upon Anti-shake,254,GU_QTH005M_QBH,SDR,254,GU_QTH005M_QBH,FCE,"product:public,wcdma,gv3",uid=254#uuserlabel=#ufid=254#gid=94#guserlabel=#gfid=94,The board is being initialized,""
Critical,Communications Alarm,3G_TKY016M_QNM(125),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",The SCTP association is broken(198092230),1. The SCTP association parameters of the local end and the opposite end are not configured correctly. 2. The transmission link is faulty.,2023-07-04 00:15:14,"",ME(MO SDR),"U RNCId: 3353; Association ID: 1; Association type is ETH, Related port is ETH0; Board serial number: 249366600827; U nodeBId:125",Unacknowledged,"","","","","","","",UMTS,25,1662661135118,10.248.190.38,"","OMCB_RNC_3353Z_QNM,Subnet(MO SDR)(3353)",OMCB_RNC_3353Z_QNM,Platform Alarm,"",00:03:51,2023-07-04 00:19:05,"","","",Restoration upon Anti-shake,125,3G_TKY016M_QNM,SDR,125,3G_TKY016M_QNM,CC,"product:public,wcdma",uid=125#uuserlabel=#ufid=125,The SCTP association is broken,""
Major,Processing Error Alarm,3G_PCT052M_BDH(431),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=13","","",The board is being initialized(198092348),1. The board resetting command is executed. 2. The board is powered on. 3. The board automatically resets due to software error.,2023-07-04 00:19:19,"",ME(MO SDR),U RNCId: 3350; Board serial number: 254234200667; U nodeBId:431,Unacknowledged,"","","","","","","",UMTS,360,1662661135128,10.248.198.153,"","OMCB_RNC_3002Z_PYN,Subnet(MO SDR)(3002)",OMCB_RNC_3002Z_PYN,Platform Alarm,"",00:00:17,2023-07-04 00:19:36,"","","",Normal,431,3G_PCT052M_BDH,SDR,431,3G_PCT052M_BDH,SA,"product:public,wcdma",uid=431#uuserlabel=#ufid=431,The board is being initialized,""
Major,Processing Error Alarm,3G_PCT052M_BDH(431),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=13","","",The board is being initialized(198092348),1. The board resetting command is executed. 2. The board is powered on. 3. The board automatically resets due to software error.,2023-07-04 00:20:14,"",ME(MO SDR),U RNCId: 3350; Board serial number: 254234200667; U nodeBId:431,Unacknowledged,"","","","","","","",UMTS,362,1662661135131,10.248.198.153,"","OMCB_RNC_3002Z_PYN,Subnet(MO SDR)(3002)",OMCB_RNC_3002Z_PYN,Platform Alarm,"",00:00:17,2023-07-04 00:20:31,"","","",Normal,431,3G_PCT052M_BDH,SDR,431,3G_PCT052M_BDH,SA,"product:public,wcdma",uid=431#uuserlabel=#ufid=431,The board is being initialized,""
Major,Communications Alarm,4G-DHA015W-PYN(490155),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",The physical Ethernet link is broken(198098252),"Ethernet port is configured, but no Ethernet cable is connected to it or the network cable is damaged.",2023-07-04 00:21:10,"",ME(MO SDR),ETH0 Optical port; Board serial number: 717033700919; L eNBId:490155,Unacknowledged,"","","","","","","",LTE FDD,0,1662661135133,10.225.125.91,"","MO SDR_OMMB2_VNPT,PYN(49000)",MO SDR_OMMB2_VNPT,Platform Alarm,"",00:00:16,2023-07-04 00:21:26,"","","",Normal,490155,4G-DHA015W-PYN,SDR,490155,4G-DHA015W-PYN,CCC,"product:public,ltefdd",fddid=490155#fdduserlabel=4G-DHA015W-PYN#fddfid=490155,The physical Ethernet link is broken,""
Total Count:,8,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
