Active Alarm
Perceived Severity,Alarm Type,NE,Location,Additional NE,Additional Location,Alarm Code,Specific Problem,Raised Time,Changed Time,NE Type,Remark,ACK State,(Un)ACK Time,(Un)ACK User ID,(Un)ACK System ID,Comment Time,Comment,Comment User ID,Comment System ID,Product,Alarm Aid,Alarm ID,NE IP,Link,NE Group,NE Agent,System Type,Additional Information,Path Name,Custom Attribute 1,Custom Attribute 2,Custom Attribute 3,Custom Attribute 4,Custom Attribute 5,Custom Attribute 6,Custom Attribute 7,Custom Attribute 8,Custom Attribute 9,Custom Attribute 10
Major,Equipment Alarm,3G_HNN074M_BDH(469),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 05:34:23,"",ME(MO SDR),U RNCId: 3350; Control voltage abnormal; Board serial number: 254178300966; U nodeBId:469,Unacknowledged,"","","","","","","",UMTS,13770,1662661135925,10.248.200.77,"","OMCB_RNC_3002Z_PYN,Subnet(MO SDR)(3002)",OMCB_RNC_3002Z_PYN,Platform Alarm,"","",469,3G_HNN074M_BDH,SDR,469,3G_HNN074M_BDH,CC,"product:public,wcdma",uid=469#uuserlabel=#ufid=469,Lost of synchronization,""
Major,Equipment Alarm,GU_PCT034M_BDH(303),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 05:34:57,"",ME(MO SDR),"G BSCId: 350; U RNCId: 3350; Control voltage abnormal; Board serial number: 254437701034; U nodeBId:303,G siteId:197",Unacknowledged,"","","","","","","","UMTS,GSM",230,1662661135930,10.248.198.139,"","OMCB_RNC_3002Z_PYN,Subnet(MO SDR)(3002)",OMCB_RNC_3002Z_PYN,Platform Alarm,"","",303,GU_PCT034M_BDH,SDR,303,GU_PCT034M_BDH,CC,"product:public,wcdma,gv3",uid=303#uuserlabel=#ufid=303#gid=197#guserlabel=#gfid=197,Lost of synchronization,""
Critical,Communications Alarm,GU_PMY005M_BDH(21),"","","",Link between OMM and NE broken(198099803),Link between OMM and NE broken.,2023-07-04 05:34:58,"",ME(MO SDR),"G BSCId: 350; U RNCId: 3350; IP: 10.248.199.121; Detection time: 2023-07-04 05:34:10, The transmission of the gateway(IP: 10.248.199.113), which is configured in IP layer used by the OMC channel between OMMB and NE, is normal; U nodeBId:21,G siteId:229",Unacknowledged,"","","","","","","","UMTS,GSM",0,1662661135931,10.248.199.121,"","OMCB_RNC_3002Z_PYN,Subnet(MO SDR)(3002)",OMCB_RNC_3002Z_PYN,Wireless Public Alarm,"","",21,GU_PMY005M_BDH,SDR,21,GU_PMY005M_BDH,"","product:public,wcdma,gv3",uid=21#uuserlabel=#ufid=21#gid=229#guserlabel=#gfid=229,Link Broken Between OMM and NE,""
Major,Equipment Alarm,3G_DPO041M_QNI(434),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 05:35:43,"",ME(MO SDR),U RNCId: 3351; Control voltage abnormal; Board serial number: 254399201107; U nodeBId:434,Unacknowledged,"","","","","","","",UMTS,6542,1662661135932,10.248.195.205,"","MO_OMCB_RNC_3351Z_QNI,Subnet(MO SDR)(3351)",MO_OMCB_RNC_3351Z_QNI,Platform Alarm,"","",434,3G_DPO041M_QNI,SDR,434,3G_DPO041M_QNI,CC,"product:public,wcdma",uid=434#uuserlabel=#ufid=434,Lost of synchronization,""
Critical,Processing Error Alarm,RNC_3355Z_HUE(3355),"EQRNCID=3355,RACKNO=1,SHELFNO=3,SLOTNO=12,CPUNO=1",GU_QDN022M_HUE(283),"",Cell is out of service(198083022),The cell CGID reported by the Node B after audit is zero.,2023-07-04 05:36:15,"",ME(UMTS),NodeB ID:283; Cell ID:12832; Alarm sub code:8; Cell support MBMS or not:Cell does not support MBMS; Slave No.:5; User plane resource Unit ID:9; the Module No. of the board:1; Unit No. of the board:8; Processor No. of the board:1; Subsystem No. of the board:1,Unacknowledged,"","","","","","","",UMTS,12310,1662661135934,10.9.55.129,"","OMCR_RNC_3355Z_DNG,SUBNET(UMTS)(3355)",OMCR_RNC_3355Z_DNG,UMTS Controller Alarm(V3),"","",283,GU_QDN022M_HUE,CELL,12832,3G_QDN022M42_HUE,RCB,"product:wcdma,wcdma",CRC=0#MO=301#OTYPE=UIubLink#NENAME=RNC_3355Z_HUE#RAISETIME=2023-07-04 05:36:15,Cell is out of service,The cell CGID reported by the Node B after audit is zero.
Major,Equipment Alarm,GU_DXN029M_PYN(290),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 05:34:55,"",ME(MO SDR),"G BSCId: 351; U RNCId: 3007; Control voltage abnormal; Board serial number: 254314600627; U nodeBId:290,G siteId:290",Unacknowledged,"","","","","","","","UMTS,GSM",34019,1662661135935,10.248.201.110,"","OMCB_RNC_3007Z_PYN,Subnet(MO SDR)(3007)",OMCB_RNC_3007Z_PYN,Platform Alarm,"","",290,GU_DXN029M_PYN,SDR,290,GU_DXN029M_PYN,CC,"product:public,wcdma,gv3",uid=290#uuserlabel=#ufid=290#gid=290#guserlabel=#gfid=290,Lost of synchronization,""
Major,Equipment Alarm,GU_DXN023M_QNM(89),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 05:37:41,"",ME(MO SDR),"G BSCId: 352; U RNCId: 3352; Control voltage abnormal; Board serial number: 254233600296; U nodeBId:89,G siteId:89",Unacknowledged,"","","","","","","","UMTS,GSM",30095,1662661135940,10.248.192.166,"","OMCB_RNC_3352Z_QNM,Subnet(MO SDR)(3352)",OMCB_RNC_3352Z_QNM,Platform Alarm,"","",89,GU_DXN023M_QNM,SDR,89,GU_DXN023M_QNM,CC,"product:public,wcdma,gv3",uid=89#uuserlabel=GU_DXN023M_QNM#ufid=89#gid=89#guserlabel=#gfid=89,Lost of synchronization,""
Total Count:,7,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
