Active Alarm
Perceived Severity,Alarm Type,NE,Location,Additional NE,Additional Location,Alarm Code,Specific Problem,Raised Time,Changed Time,NE Type,Remark,ACK State,(Un)ACK Time,(Un)ACK User ID,(Un)ACK System ID,Comment Time,Comment,Comment User ID,Comment System ID,Product,Alarm Aid,Alarm ID,NE IP,Link,NE Group,NE Agent,System Type,Additional Information,Path Name,Custom Attribute 1,Custom Attribute 2,Custom Attribute 3,Custom Attribute 4,Custom Attribute 5,Custom Attribute 6,Custom Attribute 7,Custom Attribute 8,Custom Attribute 9,Custom Attribute 10
Major,Equipment Alarm,GU_NTM004M_QNM(187),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=2","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 00:54:01,"",ME(MO SDR),"G BSCId: 353; U RNCId: 3353; Control voltage abnormal; Board serial number: 251967300237; U nodeBId:187,G siteId:187",Unacknowledged,"","","","","","","","UMTS,GSM",24430,1662661135189,10.248.192.150,"","OMCB_RNC_3353Z_QNM,Subnet(MO SDR)(3353)",OMCB_RNC_3353Z_QNM,Platform Alarm,"","",187,GU_NTM004M_QNM,SDR,187,GU_NTM004M_QNM,CC,"product:public,wcdma,gv3",uid=187#uuserlabel=#ufid=187#gid=187#guserlabel=#gfid=187,Lost of synchronization,""
Major,Processing Error Alarm,GU_QTH005M_QBH(254),"Equipment=1,Rack(MO SDR)=2,Shelf(MO SDR)=1,Board(MO SDR)=7","","",The board is being initialized(198092348),1. The board resetting command is executed. 2. The board is powered on. 3. The board automatically resets due to software error.,2023-07-04 00:54:42,"",ME(MO SDR),"G BSCId: 356; U RNCId: 3022; Board serial number: 254016400625; U nodeBId:254,G siteId:94",Unacknowledged,"","","","","","","","UMTS,GSM",12095,1662661135194,10.248.177.68,"","OMCB_RNC_3022Z_QBH,RNC3022_QBH(3022)",OMCB_RNC_3022Z_QBH,Platform Alarm,"","",254,GU_QTH005M_QBH,SDR,254,GU_QTH005M_QBH,FCE,"product:public,wcdma,gv3",uid=254#uuserlabel=#ufid=254#gid=94#guserlabel=#gfid=94,The board is being initialized,""
Major,Equipment Alarm,GU_DBN029M_QNM(30),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=2","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 00:56:17,"",ME(MO SDR),"G BSCId: 352; U RNCId: 3352; Control voltage abnormal; Board serial number: 254437701236; U nodeBId:30,G siteId:30",Unacknowledged,"","","","","","","","UMTS,GSM",7810,1662661135199,10.248.191.72,"","OMCB_RNC_3352Z_QNM,Subnet(MO SDR)(3352)",OMCB_RNC_3352Z_QNM,Platform Alarm,"","",30,GU_DBN029M_QNM,SDR,30,GU_DBN029M_QNM,CC,"product:public,wcdma,gv3",uid=30#uuserlabel=GU_DBN029M_QNM#ufid=30#gid=30#guserlabel=#gfid=30,Lost of synchronization,""
Major,Equipment Alarm,GU_DXN019M_QNM(32),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 00:56:54,"",ME(MO SDR),"G BSCId: 352; U RNCId: 3352; Control voltage abnormal; Board serial number: 254437700281; U nodeBId:32,G siteId:32",Unacknowledged,"","","","","","","","UMTS,GSM",31031,1662661135201,10.248.190.178,"","OMCB_RNC_3352Z_QNM,Subnet(MO SDR)(3352)",OMCB_RNC_3352Z_QNM,Platform Alarm,"","",32,GU_DXN019M_QNM,SDR,32,GU_DXN019M_QNM,CC,"product:public,wcdma,gv3",uid=32#uuserlabel=GU_DXN019M_QNM#ufid=32#gid=32#guserlabel=#gfid=32,Lost of synchronization,""
Major,Equipment Alarm,3G_HNN074M_BDH(469),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 00:56:59,"",ME(MO SDR),U RNCId: 3350; Control voltage abnormal; Board serial number: 254178300966; U nodeBId:469,Unacknowledged,"","","","","","","",UMTS,13748,1662661135202,10.248.200.77,"","OMCB_RNC_3002Z_PYN,Subnet(MO SDR)(3002)",OMCB_RNC_3002Z_PYN,Platform Alarm,"","",469,3G_HNN074M_BDH,SDR,469,3G_HNN074M_BDH,CC,"product:public,wcdma",uid=469#uuserlabel=#ufid=469,Lost of synchronization,""
Major,Equipment Alarm,GU_DXN028M_QNM(132),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 00:57:06,"",ME(MO SDR),"U RNCId: 3352; Control voltage abnormal; Board serial number: 254314600760; U nodeBId:132,G siteId:232",Unacknowledged,"","","","","","","","UMTS,GSM",27140,1662661135203,10.248.190.180,"","OMCB_RNC_3352Z_QNM,Subnet(MO SDR)(3352)",OMCB_RNC_3352Z_QNM,Platform Alarm,"","",132,GU_DXN028M_QNM,SDR,132,GU_DXN028M_QNM,CC,"product:public,wcdma,gv3",uid=132#uuserlabel=GU_DXN028M_QNM#ufid=132#gid=232#guserlabel=#gfid=232,Lost of synchronization,""
Major,Equipment Alarm,GU_PLC024M_HUE(285),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 00:57:31,"",ME(MO SDR),"G BSCId: 356; U RNCId: 3010; Control voltage abnormal; Board serial number: 254437700678; U nodeBId:285,G siteId:159",Unacknowledged,"","","","","","","","UMTS,GSM",10917,1662661135204,10.248.182.205,"","OMCB_RNC_3355Z_DNG,RNC_3355Z_HUE(3355)",OMCB_RNC_3355Z_DNG,Platform Alarm,"","",285,GU_PLC024M_HUE,SDR,285,GU_PLC024M_HUE,CC,"product:public,wcdma,gv3",uid=285#uuserlabel=#ufid=285#gid=159#guserlabel=#gfid=159,Lost of synchronization,""
Major,Equipment Alarm,3G_DPO024M_QNI(110),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=13","","",Board communication link interrupted(198097060),The link between this board and master main control board is faulty.,2023-07-04 00:57:37,"",ME(MO SDR),U RNCId: 3351; MCU link; Downlink break; U nodeBId:110,Unacknowledged,"","","","","","","",UMTS,42386,1662661135205,10.248.195.171,"","MO_OMCB_RNC_3351Z_QNI,Subnet(MO SDR)(3351)",MO_OMCB_RNC_3351Z_QNI,Platform Alarm,"","",110,3G_DPO024M_QNI,SDR,110,3G_DPO024M_QNI,SA,"product:public,wcdma",uid=110#uuserlabel=NodeBO_Pho-Nhon_QNI#ufid=110,Board communication link interrupted,""
Major,Equipment Alarm,GU_ANN037M_BDH(329),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 00:58:29,"",ME(MO SDR),"G BSCId: 350; U RNCId: 3009; Control voltage abnormal; Board serial number: 254437700369; U nodeBId:329,G siteId:1",Unacknowledged,"","","","","","","","UMTS,GSM",13163,1662661135206,10.248.199.5,"","MO_OMCB_RNC_3009Z_BDH,OMCB-3009(3009)",MO_OMCB_RNC_3009Z_BDH,Platform Alarm,"","",329,GU_ANN037M_BDH,SDR,329,GU_ANN037M_BDH,CC,"product:public,wcdma,gv3",uid=329#uuserlabel=#ufid=329#gid=1#guserlabel=#gfid=1,Lost of synchronization,""
Total Count:,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
