Active Alarm
Perceived Severity,Alarm Type,NE,Location,Additional NE,Additional Location,Alarm Code,Specific Problem,Raised Time,Changed Time,NE Type,Remark,ACK State,(Un)ACK Time,(Un)ACK User ID,(Un)ACK System ID,Comment Time,Comment,Comment User ID,Comment System ID,Product,Alarm Aid,Alarm ID,NE IP,Link,NE Group,NE Agent,System Type,Additional Information,Path Name,Custom Attribute 1,Custom Attribute 2,Custom Attribute 3,Custom Attribute 4,Custom Attribute 5,Custom Attribute 6,Custom Attribute 7,Custom Attribute 8,Custom Attribute 9,Custom Attribute 10
Major,Equipment Alarm,3G_HNN074M_BDH(469),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 08:14:49,"",ME(MO SDR),U RNCId: 3350; Control voltage abnormal; Board serial number: 254178300966; U nodeBId:469,Unacknowledged,"","","","","","","",UMTS,13784,1662661136789,10.248.200.77,"","OMCB_RNC_3002Z_PYN,Subnet(MO SDR)(3002)",OMCB_RNC_3002Z_PYN,Platform Alarm,"","",469,3G_HNN074M_BDH,SDR,469,3G_HNN074M_BDH,CC,"product:public,wcdma",uid=469#uuserlabel=#ufid=469,Lost of synchronization,""
Critical,Processing Error Alarm,UL-BTH087S-QBH(500548),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",The license file will soon fall due(198097673),The license file will soon fall due.,2023-07-04 08:14:54,"",ME(MO SDR),"U RNCId: 3022; CPU=1; The temporary file is about to expire, and the default mode will be used; Expiration date: 2023-7-31; Board serial number: 743150600013; U nodeBId:527,L eNBId:500548; L: Cell ID=11",Unacknowledged,"","","","","","","","UMTS,LTE FDD",5,1662661136790,10.225.165.188,"","MO SDR_OMMB3_VNPT,QBH(50000)",MO SDR_OMMB3_VNPT,Platform Alarm,"","",500548,UL-BTH087S-QBH,SDR,500548,UL-BTH087S-QBH,BS8932BU,"product:public,wcdma,ltefdd",uid=527#uuserlabel=#ufid=527#fddid=500548#fdduserlabel=UL-BTH087S-QBH#fddfid=500548,The license file will soon fall due,""
Minor,Equipment Alarm,UL-HUE010W-HUE(460333),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=13","","",Mains Failure Alarm(198092550),1. The normally open or closed setting of the alarm related to the dry contact is not correctly set.  2. The cable is not correctly connected or is faulty. 3. The dry contact device is faulty.,2023-07-04 08:15:46,"",ME(MO SDR),"U RNCId: 3010; Dry contact ID: 0; Board serial number: 741223200436; U nodeBId:416,L eNBId:460333,N eNBId:460333",Unacknowledged,"","","","","","","","UMTS,LTE FDD,NB-IoT",292,1662661136792,10.225.93.86,"","MO SDR_OMMB3_VNPT,HUE(46000)",MO SDR_OMMB3_VNPT,Platform Alarm,"","",460333,UL-HUE010W-HUE,SDR,460333,UL-HUE010W-HUE,SA,"product:public,wcdma,ltefdd,NB-IoT",uid=416#uuserlabel=#ufid=416##fddid=460333#fdduserlabel=UL-HUE010W-HUE#fddfid=460333#nid=460333#nuserlabel=UL-HUE010W-HUE#nfid=460333,User-defined dry contact alarm 1,""
Critical,Processing Error Alarm,UL-BTH086S-QBH(500547),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",The license file will soon fall due(198097673),The license file will soon fall due.,2023-07-04 08:16:17,"",ME(MO SDR),"U RNCId: 3022; CPU=1; The temporary file is about to expire, and the default mode will be used; Expiration date: 2023-7-31; Board serial number: 739478000004; U nodeBId:526,L eNBId:500547; L: Cell ID=11",Unacknowledged,"","","","","","","","UMTS,LTE FDD",5,1662661136793,10.225.165.187,"","MO SDR_OMMB3_VNPT,QBH(50000)",MO SDR_OMMB3_VNPT,Platform Alarm,"","",500547,UL-BTH086S-QBH,SDR,500547,UL-BTH086S-QBH,BS8932BU,"product:public,wcdma,ltefdd",uid=526#uuserlabel=#ufid=526#fddid=500547#fdduserlabel=UL-BTH086S-QBH#fddfid=500547,The license file will soon fall due,""
Major,Equipment Alarm,3G_PMY052M_BDH(425),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 08:17:01,"",ME(MO SDR),U RNCId: 3350; Control voltage abnormal; Board serial number: 254437700025; U nodeBId:425,Unacknowledged,"","","","","","","",UMTS,34210,1662661136796,10.248.199.152,"","OMCB_RNC_3002Z_PYN,Subnet(MO SDR)(3002)",OMCB_RNC_3002Z_PYN,Platform Alarm,"","",425,3G_PMY052M_BDH,SDR,425,3G_PMY052M_BDH,CC,"product:public,wcdma",uid=425#uuserlabel=#ufid=425#,Lost of synchronization,""
Major,Equipment Alarm,GU_DXN023M_QNM(89),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 08:17:03,"",ME(MO SDR),"G BSCId: 352; U RNCId: 3352; Control voltage abnormal; Board serial number: 254233600296; U nodeBId:89,G siteId:89",Unacknowledged,"","","","","","","","UMTS,GSM",30109,1662661136797,10.248.192.166,"","OMCB_RNC_3352Z_QNM,Subnet(MO SDR)(3352)",OMCB_RNC_3352Z_QNM,Platform Alarm,"","",89,GU_DXN023M_QNM,SDR,89,GU_DXN023M_QNM,CC,"product:public,wcdma,gv3",uid=89#uuserlabel=GU_DXN023M_QNM#ufid=89#gid=89#guserlabel=#gfid=89,Lost of synchronization,""
Major,Equipment Alarm,3G_TSN037M_BDH(477),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 08:17:05,"",ME(MO SDR),U RNCId: 3350; Control voltage abnormal; Board serial number: 254314600095; U nodeBId:477,Unacknowledged,"","","","","","","",UMTS,37621,1662661136798,10.248.200.104,"","OMCB_RNC_3002Z_PYN,Subnet(MO SDR)(3002)",OMCB_RNC_3002Z_PYN,Platform Alarm,"","",477,3G_TSN037M_BDH,SDR,477,3G_TSN037M_BDH,CC,"product:public,wcdma",uid=477#uuserlabel=#ufid=477,Lost of synchronization,""
Major,Equipment Alarm,GU_DXN029M_PYN(290),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 08:15:53,"",ME(MO SDR),"G BSCId: 351; U RNCId: 3007; Control voltage abnormal; Board serial number: 254314600627; U nodeBId:290,G siteId:290",Unacknowledged,"","","","","","","","UMTS,GSM",34033,1662661136799,10.248.201.110,"","OMCB_RNC_3007Z_PYN,Subnet(MO SDR)(3007)",OMCB_RNC_3007Z_PYN,Platform Alarm,"","",290,GU_DXN029M_PYN,SDR,290,GU_DXN029M_PYN,CC,"product:public,wcdma,gv3",uid=290#uuserlabel=#ufid=290#gid=290#guserlabel=#gfid=290,Lost of synchronization,""
Critical,Equipment Alarm,GU_SHH015M_PYN(174),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=13","","",Rectifier Failure Alarm(198092551),1. The normally open or closed setting of the alarm related to the dry contact is not correctly set.  2. The cable is not correctly connected or is faulty. 3. The dry contact device is faulty.,2023-07-04 08:15:56,"",ME(MO SDR),"G BSCId: 351; U RNCId: 3002; Dry contact ID: 5; Board serial number: 285879701830; U nodeBId:174,G siteId:194",Unacknowledged,"","","","","","","","UMTS,GSM",1063,1662661136801,10.248.201.122,"","OMCB_RNC_3007Z_PYN,Subnet(MO SDR)(3007)",OMCB_RNC_3007Z_PYN,Platform Alarm,"","",174,GU_SHH015M_PYN,SDR,174,GU_SHH015M_PYN,SA,"product:public,wcdma,gv3",uid=174#uuserlabel=#ufid=174#gid=194#guserlabel=#gfid=194,User-defined dry contact alarm 2,""
Minor,Equipment Alarm,4G-HAN010M-BDH(420322),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=13","","",User-defined dry contact alarm 18(198092567),1. The normally open or closed setting of the alarm related to the dry contact is not correctly set.  2. The cable is not correctly connected or is faulty. 3. The dry contact device is faulty.,2023-07-04 08:18:09,"",ME(MO SDR),Dry contact ID: 7; Board serial number: 724397500369; L eNBId:420322,Unacknowledged,"","","","","","","",LTE FDD,210,1662661136803,10.225.117.230,"","MO SDR_OMMB2_VNPT,BDH(42000)",MO SDR_OMMB2_VNPT,Platform Alarm,"","",420322,4G-HAN010M-BDH,SDR,420322,4G-HAN010M-BDH,SA,"product:public,ltefdd",fddid=420322#fdduserlabel=4G-HAN010M-BDH#fddfid=420322,User-defined dry contact alarm 18,""
