Active Alarm
Perceived Severity,Alarm Type,NE,Location,Additional NE,Additional Location,Alarm Code,Specific Problem,Raised Time,Changed Time,NE Type,Remark,ACK State,(Un)ACK Time,(Un)ACK User ID,(Un)ACK System ID,Comment Time,Comment,Comment User ID,Comment System ID,Product,Alarm Aid,Alarm ID,NE IP,Link,NE Group,NE Agent,System Type,Additional Information,Path Name,Custom Attribute 1,Custom Attribute 2,Custom Attribute 3,Custom Attribute 4,Custom Attribute 5,Custom Attribute 6,Custom Attribute 7,Custom Attribute 8,Custom Attribute 9,Custom Attribute 10
Major,Equipment Alarm,GU_TPC020M_QNM(275),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 03:04:31,"",ME(MO SDR),"G BSCId: 350; U RNCId: 3353; Control voltage abnormal; Board serial number: 254437700192; U nodeBId:275,G siteId:275",Unacknowledged,"","","","","","","","UMTS,GSM",10209,1662661135507,10.248.192.250,"","OMCB_RNC_3353Z_QNM,Subnet(MO SDR)(3353)",OMCB_RNC_3353Z_QNM,Platform Alarm,"","",275,GU_TPC020M_QNM,SDR,275,GU_TPC020M_QNM,CC,"product:public,wcdma,gv3",uid=275#uuserlabel=#ufid=275#gid=275#guserlabel=#gfid=275,Lost of synchronization,""
Major,Quality of Service Alarm,4G-VTH001M-BDH(420040),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",LTE cell outage(198094419),"1. The S1 link is faulty. 2. The CC board, BP board, or RRU for the cell is faulty. 3. The cell is not configured successfully. 4. The clock is unlocked. 5. Product process running on the business load sharing auxiliary CC board is abnormal.",2023-07-04 03:06:11,"",ME(MO SDR),"Cell user label: 4G-VTH001R11-BDH, Cell ID: 17,  Caused by RRU board fault; Cell type: normal cell, 70001000; Board serial number: 708740200543; L eNBId:420040",Unacknowledged,"","","","","","","",LTE FDD,1193,1662661135510,10.225.117.167,"","MO SDR_OMMB2_VNPT,BDH(42000)",MO SDR_OMMB2_VNPT,LTE FDD Alarm,"","",420040,4G-VTH001M-BDH,CELL,17,4G-VTH001R11-BDH,CCC,"product:ltefdd,ltefdd",fddid=420040#fdduserlabel=4G-VTH001M-BDH#fddfid=420040,LTE cell outage,""
Major,Equipment Alarm,GU_TBH018M_QNM(75),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 03:06:11,"",ME(MO SDR),"G BSCId: 353; U RNCId: 3353; Control voltage abnormal; Board serial number: 254399201058; U nodeBId:75,G siteId:75",Unacknowledged,"","","","","","","","UMTS,GSM",1469,1662661135511,10.248.190.83,"","OMCB_RNC_3353Z_QNM,Subnet(MO SDR)(3353)",OMCB_RNC_3353Z_QNM,Platform Alarm,"","",75,GU_TBH018M_QNM,SDR,75,GU_TBH018M_QNM,CC,"product:public,wcdma,gv3",uid=75#uuserlabel=KV-Binh-Duong_QNM#ufid=75#gid=75#guserlabel=#gfid=75,Lost of synchronization,""
Critical,Processing Error Alarm,4G-VTH001M-BDH(420040),"Equipment=1,Rack(MO SDR)=61,Shelf(MO SDR)=1,Board(MO SDR)=1","","",The RRU link is broken(198097605),1. The optical fiber between the BBU and the RRU or between upper-level and lower-level RRUs is not operating properly. 2. The optical module of the RRU or the optical module of the uplink BBU is faulty. 3. The RRU is not powered. 4. The interface board of the BBU is faulty. 5. The RRU is faulty. 6. The lr line bit rate is not correctly set.,2023-07-04 03:06:18,"",ME(MO SDR),"The optical attenuation of the link corresponding to optical port 1 is too large; Board serial number: 219236381376; L eNBId:420040; Topology: Optical board=(1,1,8), Optical board port=3, Optical board port type is SFP, Fault board rack=61, Fault board main cascade=1; L: Cell ID=17",Unacknowledged,"","","","","","","",LTE FDD,1194,1662661135513,10.225.117.167,"","MO SDR_OMMB2_VNPT,BDH(42000)",MO SDR_OMMB2_VNPT,Platform Alarm,"","",420040,4G-VTH001M-BDH,RU,61,SubRack-1,R8862A S1800(B6A),"product:public,ltefdd",fddid=420040#fdduserlabel=4G-VTH001M-BDH#fddfid=420040,The RRU link is broken,""
Total Count:,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
