History Alarm
Perceived Severity,Alarm Type,NE,Location,Additional NE,Additional Location,Alarm Code,Specific Problem,Raised Time,Changed Time,NE Type,Remark,ACK State,(Un)ACK Time,(Un)ACK User ID,(Un)ACK System ID,Comment Time,Comment,Comment User ID,Comment System ID,Product,Alarm Aid,Alarm ID,NE IP,Link,NE Group,NE Agent,System Type,Additional Information,Duration(hh:mm:ss),Cleared Time,Clear User ID,Clear System ID,Path Name,Clear Type,Custom Attribute 1,Custom Attribute 2,Custom Attribute 3,Custom Attribute 4,Custom Attribute 5,Custom Attribute 6,Custom Attribute 7,Custom Attribute 8,Custom Attribute 9,Custom Attribute 10
Minor,Equipment Alarm,4G-ALI020M-HUE(460308),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=13","","",Mains Failure Alarm(198092550),1. The normally open or closed setting of the alarm related to the dry contact is not correctly set.  2. The cable is not correctly connected or is faulty. 3. The dry contact device is faulty.,2023-07-04 08:29:56,"",ME(MO SDR),"Dry contact ID: 0; Board serial number: 722434000582; L eNBId:460308,N eNBId:460308",Unacknowledged,"","","","","","","","NB-IoT,LTE FDD",412,1662661136868,10.225.93.72,"","MO SDR_OMMB3_VNPT,HUE(46000)",MO SDR_OMMB3_VNPT,Platform Alarm,"",00:07:03,2023-07-04 08:36:59,"","","",Normal,460308,4G-ALI020M-HUE,SDR,460308,4G-ALI020M-HUE,SA,"product:public,ltefdd,NB-IoT",fddid=460308#fdduserlabel=4G-ALI020M-HUE#fddfid=460308#nid=460308#nuserlabel=4G-ALI020M-HUE#nfid=460308,User-defined dry contact alarm 1,""
Minor,Equipment Alarm,4G-ALI021M-HUE(460309),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=13","","",Mains Failure Alarm(198092550),1. The normally open or closed setting of the alarm related to the dry contact is not correctly set.  2. The cable is not correctly connected or is faulty. 3. The dry contact device is faulty.,2023-07-04 08:29:58,"",ME(MO SDR),"Dry contact ID: 0; Board serial number: 707603601833; L eNBId:460309,N eNBId:460309",Unacknowledged,"","","","","","","","NB-IoT,LTE FDD",396,1662661136869,10.225.93.100,"","MO SDR_OMMB3_VNPT,HUE(46000)",MO SDR_OMMB3_VNPT,Platform Alarm,"",00:02:45,2023-07-04 08:32:43,"","","",Normal,460309,4G-ALI021M-HUE,SDR,460309,4G-ALI021M-HUE,SA,"product:public,ltefdd,NB-IoT",fddid=460309#fdduserlabel=4G-ALI021M-HUE#fddfid=460309#nid=460309#nuserlabel=4G-ALI021M-HUE#nfid=460309,User-defined dry contact alarm 1,""
Minor,Equipment Alarm,4G-ALI019M-HUE(460297),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=13","","",Mains Failure Alarm(198092550),1. The normally open or closed setting of the alarm related to the dry contact is not correctly set.  2. The cable is not correctly connected or is faulty. 3. The dry contact device is faulty.,2023-07-04 08:30:00,"",ME(MO SDR),"Dry contact ID: 0; Board serial number: 724149901714; L eNBId:460297,N eNBId:460297",Unacknowledged,"","","","","","","","NB-IoT,LTE FDD",68,1662661136870,10.225.93.74,"","MO SDR_OMMB3_VNPT,HUE(46000)",MO SDR_OMMB3_VNPT,Platform Alarm,"",00:02:42,2023-07-04 08:32:42,"","","",Normal,460297,4G-ALI019M-HUE,SDR,460297,4G-ALI019M-HUE,SA,"product:public,ltefdd,NB-IoT",fddid=460297#fdduserlabel=4G-ALI019M-HUE#fddfid=460297#nid=460297#nuserlabel=4G-ALI019M-HUE#nfid=460297,User-defined dry contact alarm 1,""
Minor,Equipment Alarm,4G-ALI004M-HUE(460301),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=13","","",Mains Failure Alarm(198092550),1. The normally open or closed setting of the alarm related to the dry contact is not correctly set.  2. The cable is not correctly connected or is faulty. 3. The dry contact device is faulty.,2023-07-04 08:30:05,"",ME(MO SDR),Dry contact ID: 0; Board serial number: 721632901723; L eNBId:460301,Unacknowledged,"","","","","","","",LTE FDD,273,1662661136871,10.225.93.8,"","MO SDR_OMMB3_VNPT,HUE(46000)",MO SDR_OMMB3_VNPT,Platform Alarm,"",00:02:42,2023-07-04 08:32:47,"","","",Normal,460301,4G-ALI004M-HUE,SDR,460301,4G-ALI004M-HUE,SA,"product:public,ltefdd",fddid=460301#fdduserlabel=4G-ALI004M-HUE#fddfid=460301,User-defined dry contact alarm 1,""
Minor,Equipment Alarm,SR_ALI017M_HUE(460312),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=13","","",Mains Failure Alarm(198092550),1. The normally open or closed setting of the alarm related to the dry contact is not correctly set.  2. The cable is not correctly connected or is faulty. 3. The dry contact device is faulty.,2023-07-04 08:30:07,"",ME(MO SDR),"G BSCId: 356; U RNCId: 3355; Dry contact ID: 0; Board serial number: 285879701728; U nodeBId:346,G siteId:433,L eNBId:460312",Unacknowledged,"","","","","","","","UMTS,GSM,LTE FDD",15,1662661136872,10.225.93.11,"","MO SDR_OMMB3_VNPT,HUE(46000)",MO SDR_OMMB3_VNPT,Platform Alarm,"",00:02:51,2023-07-04 08:32:58,"","","",Normal,460312,SR_ALI017M_HUE,SDR,460312,SR_ALI017M_HUE,SA,"product:public,wcdma,gv3,ltefdd",uid=346#uuserlabel=#ufid=346#gid=433#guserlabel=#gfid=433#fddid=460312#fdduserlabel=4G-ALI017M-HUE#fddfid=460312,User-defined dry contact alarm 1,""
Minor,Equipment Alarm,4G-ALI008M-HUE(460298),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=13","","",Mains Failure Alarm(198092550),1. The normally open or closed setting of the alarm related to the dry contact is not correctly set.  2. The cable is not correctly connected or is faulty. 3. The dry contact device is faulty.,2023-07-04 08:30:06,"",ME(MO SDR),"Dry contact ID: 0; Board serial number: 731016900359; L eNBId:460298,N eNBId:460298",Unacknowledged,"","","","","","","","NB-IoT,LTE FDD",637,1662661136873,10.225.93.7,"","MO SDR_OMMB3_VNPT,HUE(46000)",MO SDR_OMMB3_VNPT,Platform Alarm,"",00:02:42,2023-07-04 08:32:48,"","","",Normal,460298,4G-ALI008M-HUE,SDR,460298,4G-ALI008M-HUE,SA,"product:public,ltefdd,NB-IoT",fddid=460298#fdduserlabel=4G-ALI008M-HUE#fddfid=460298#nid=460298#nuserlabel=4G-ALI008M-HUE#nfid=460298,User-defined dry contact alarm 1,""
Minor,Equipment Alarm,4G-ALI010M-HUE(460304),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=13","","",Mains Failure Alarm(198092550),1. The normally open or closed setting of the alarm related to the dry contact is not correctly set.  2. The cable is not correctly connected or is faulty. 3. The dry contact device is faulty.,2023-07-04 08:30:06,"",ME(MO SDR),"G BSCId: 399; U RNCId: 3355; Dry contact ID: 0; Board serial number: 724149901919; U nodeBId:231,G siteId:3,L eNBId:460304",Unacknowledged,"","","","","","","","UMTS,GSM,LTE FDD",91,1662661136874,10.225.93.101,"","MO SDR_OMMB3_VNPT,HUE(46000)",MO SDR_OMMB3_VNPT,Platform Alarm,"",00:02:42,2023-07-04 08:32:48,"","","",Normal,460304,4G-ALI010M-HUE,SDR,460304,4G-ALI010M-HUE,SA,"product:public,wcdma,gv3,ltefdd",uid=231#uuserlabel=#ufid=231#gid=3#guserlabel=#gfid=3#fddid=460304#fdduserlabel=4G-ALI010M-HUE#fddfid=460304,User-defined dry contact alarm 1,""
Minor,Equipment Alarm,4G-ALI013M-HUE(460310),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=13","","",Mains Failure Alarm(198092550),1. The normally open or closed setting of the alarm related to the dry contact is not correctly set.  2. The cable is not correctly connected or is faulty. 3. The dry contact device is faulty.,2023-07-04 08:30:06,"",ME(MO SDR),"G BSCId: 399; U RNCId: 3355; Dry contact ID: 0; Board serial number: 731016900138; U nodeBId:212,G siteId:51,L eNBId:460310",Unacknowledged,"","","","","","","","UMTS,GSM,LTE FDD",147,1662661136875,10.225.93.10,"","MO SDR_OMMB3_VNPT,HUE(46000)",MO SDR_OMMB3_VNPT,Platform Alarm,"",00:02:39,2023-07-04 08:32:45,"","","",Normal,460310,4G-ALI013M-HUE,SDR,460310,4G-ALI013M-HUE,SA,"product:public,wcdma,gv3,ltefdd",uid=212#uuserlabel=#ufid=212#gid=51#guserlabel=#gfid=51#fddid=460310#fdduserlabel=4G-ALI013M-HUE#fddfid=460310,User-defined dry contact alarm 1,""
Minor,Equipment Alarm,4G-ALI007M-HUE(460305),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=13","","",Mains Failure Alarm(198092550),1. The normally open or closed setting of the alarm related to the dry contact is not correctly set.  2. The cable is not correctly connected or is faulty. 3. The dry contact device is faulty.,2023-07-04 08:30:08,"",ME(MO SDR),"Dry contact ID: 0; Board serial number: 731016900858; L eNBId:460305,N eNBId:460305",Unacknowledged,"","","","","","","","NB-IoT,LTE FDD",637,1662661136876,10.225.93.70,"","MO SDR_OMMB3_VNPT,HUE(46000)",MO SDR_OMMB3_VNPT,Platform Alarm,"",00:02:57,2023-07-04 08:33:05,"","","",Normal,460305,4G-ALI007M-HUE,SDR,460305,4G-ALI007M-HUE,SA,"product:public,ltefdd,NB-IoT",fddid=460305#fdduserlabel=4G-ALI007M-HUE#fddfid=460305#nid=460305#nuserlabel=4G-ALI007M-HUE#nfid=460305,User-defined dry contact alarm 1,""
Minor,Equipment Alarm,4G-HTA029M-HUE(460294),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=13","","",Mains Failure Alarm(198092550),1. The normally open or closed setting of the alarm related to the dry contact is not correctly set.  2. The cable is not correctly connected or is faulty. 3. The dry contact device is faulty.,2023-07-04 08:30:08,"",ME(MO SDR),"Dry contact ID: 0; Board serial number: 724149900771; L eNBId:460294,N eNBId:460294",Unacknowledged,"","","","","","","","NB-IoT,LTE FDD",224,1662661136877,10.225.93.118,"","MO SDR_OMMB3_VNPT,HUE(46000)",MO SDR_OMMB3_VNPT,Platform Alarm,"",00:02:54,2023-07-04 08:33:02,"","","",Normal,460294,4G-HTA029M-HUE,SDR,460294,4G-HTA029M-HUE,SA,"product:public,ltefdd,NB-IoT",fddid=460294#fdduserlabel=4G-HTA029M-HUE#fddfid=460294#nid=460294#nuserlabel=4G-HTA029M-HUE#nfid=460294,User-defined dry contact alarm 1,""
Minor,Equipment Alarm,4G-ALI002M-HUE(460143),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=13","","",Mains Failure Alarm(198092550),1. The normally open or closed setting of the alarm related to the dry contact is not correctly set.  2. The cable is not correctly connected or is faulty. 3. The dry contact device is faulty.,2023-07-04 08:30:09,"",ME(MO SDR),"Dry contact ID: 0; Board serial number: 710725900028; L eNBId:460143,N eNBId:460143",Unacknowledged,"","","","","","","","NB-IoT,LTE FDD",72,1662661136878,10.225.93.3,"","MO SDR_OMMB3_VNPT,HUE(46000)",MO SDR_OMMB3_VNPT,Platform Alarm,"",00:02:39,2023-07-04 08:32:48,"","","",Normal,460143,4G-ALI002M-HUE,SDR,460143,4G-ALI002M-HUE,SA,"product:public,ltefdd,NB-IoT",fddid=460143#fdduserlabel=4G-ALI002M-HUE#fddfid=460143#nid=460143#nuserlabel=4G-ALI002M-HUE#nfid=460143,User-defined dry contact alarm 1,""
Critical,Equipment Alarm,4G-ALI007M-HUE(460305),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=13","","",Rectifier Failure Alarm(198092551),1. The normally open or closed setting of the alarm related to the dry contact is not correctly set.  2. The cable is not correctly connected or is faulty. 3. The dry contact device is faulty.,2023-07-04 08:30:14,"",ME(MO SDR),"Dry contact ID: 1; Board serial number: 731016900858; L eNBId:460305,N eNBId:460305",Unacknowledged,"","","","","","","","NB-IoT,LTE FDD",638,1662661136879,10.225.93.70,"","MO SDR_OMMB3_VNPT,HUE(46000)",MO SDR_OMMB3_VNPT,Platform Alarm,"",00:02:48,2023-07-04 08:33:02,"","","",Normal,460305,4G-ALI007M-HUE,SDR,460305,4G-ALI007M-HUE,SA,"product:public,ltefdd,NB-IoT",fddid=460305#fdduserlabel=4G-ALI007M-HUE#fddfid=460305#nid=460305#nuserlabel=4G-ALI007M-HUE#nfid=460305,User-defined dry contact alarm 2,""
Critical,Equipment Alarm,4G-ALI013M-HUE(460310),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=13","","",DC Low Voltage Alarm(198092552),1. The normally open or closed setting of the alarm related to the dry contact is not correctly set.  2. The cable is not correctly connected or is faulty. 3. The dry contact device is faulty.,2023-07-04 08:31:54,"",ME(MO SDR),"G BSCId: 399; U RNCId: 3355; Dry contact ID: 2; Board serial number: 731016900138; U nodeBId:212,G siteId:51,L eNBId:460310",Unacknowledged,"","","","","","","","UMTS,GSM,LTE FDD",148,1662661136882,10.225.93.10,"","MO SDR_OMMB3_VNPT,HUE(46000)",MO SDR_OMMB3_VNPT,Platform Alarm,"",00:01:48,2023-07-04 08:33:42,"","","",Normal,460310,4G-ALI013M-HUE,SDR,460310,4G-ALI013M-HUE,SA,"product:public,wcdma,gv3,ltefdd",uid=212#uuserlabel=#ufid=212#gid=51#guserlabel=#gfid=51#fddid=460310#fdduserlabel=4G-ALI013M-HUE#fddfid=460310,User-defined dry contact alarm 3,""
Critical,Equipment Alarm,4G-ALI008M-HUE(460298),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=13","","",DC Low Voltage Alarm(198092552),1. The normally open or closed setting of the alarm related to the dry contact is not correctly set.  2. The cable is not correctly connected or is faulty. 3. The dry contact device is faulty.,2023-07-04 08:32:27,"",ME(MO SDR),"Dry contact ID: 2; Board serial number: 731016900359; L eNBId:460298,N eNBId:460298",Unacknowledged,"","","","","","","","NB-IoT,LTE FDD",639,1662661136883,10.225.93.7,"","MO SDR_OMMB3_VNPT,HUE(46000)",MO SDR_OMMB3_VNPT,Platform Alarm,"",00:01:15,2023-07-04 08:33:42,"","","",Normal,460298,4G-ALI008M-HUE,SDR,460298,4G-ALI008M-HUE,SA,"product:public,ltefdd,NB-IoT",fddid=460298#fdduserlabel=4G-ALI008M-HUE#fddfid=460298#nid=460298#nuserlabel=4G-ALI008M-HUE#nfid=460298,User-defined dry contact alarm 3,""
Major,Communications Alarm,RNC_3353Z_QNM(3353),"EQRNCID=3353,RACKNO=1,SHELFNO=2,SLOTNO=8,CPUNO=2",3G_TKY016M_QNM(125),"",Association link broken(198066019),1. The association is released in dynamic data management. 2. Association configuration is modified at local end. 3. Association is released at opposite end. 4. Bottom layer link is faulty.,2023-07-04 08:32:35,"",ME(UMTS),Association ID:225; Home module:7; Alarm reason:Abort request from remote peer received; User type:NBAP; Office ID:0,Unacknowledged,"","","","","","","",UMTS,51042,1662661136884,10.9.53.129,"","OMCR_RNC_3353Z_QNM,SUBNET(UMTS)(3353)",OMCR_RNC_3353Z_QNM,Controller Public Alarm(V3),"",00:00:07,2023-07-04 08:32:42,"","","",Normal,125,3G_TKY016M_QNM,Association,225,3G_TKY016M_QNM$225:NBAP:225,RCB,"product:wcdma,wcdma",CRC=0#MO=301#OTYPE=UIubLink#NENAME=RNC_3353Z_QNM#RAISETIME=2023-07-04 08:32:35,Association link broken,1. The association is released in dynamic data management. 2. Association configuration is modified at local end. 3. Association is released at opposite end. 4. Bottom layer link is faulty.
Major,Quality of Service Alarm,4G-TKY021M-QNM(510063),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",LTE cell outage(198094419),"1. The S1 link is faulty. 2. The CC board, BP board, or RRU for the cell is faulty. 3. The cell is not configured successfully. 4. The clock is unlocked. 5. Product process running on the business load sharing auxiliary CC board is abnormal.",2023-07-04 08:33:56,"",ME(MO SDR),"Cell user label: 4G-TKY021R11-QNM, Cell ID: 15,  Caused by RRU board fault; Cell type: normal cell, 70001000; Board serial number: 710737700391; L eNBId:510063",Unacknowledged,"","","","","","","",LTE FDD,975,1662661136890,10.225.107.94,"","MO SDR_OMMB1_VNPT,QNM(51000)",MO SDR_OMMB1_VNPT,LTE FDD Alarm,"",00:00:42,2023-07-04 08:34:38,"","","",Normal,510063,4G-TKY021M-QNM,CELL,15,4G-TKY021R11-QNM,CCC,"product:ltefdd,ltefdd",fddid=510063#fdduserlabel=4G-TKY021M-QNM#fddfid=510063#nid=510063#nuserlabel=4G-TKY021M-QNM#nfid=510063,LTE cell outage,""
Critical,Processing Error Alarm,4G-TKY021M-QNM(510063),"Equipment=1,Rack(MO SDR)=61,Shelf(MO SDR)=1,Board(MO SDR)=1","","",The RRU link is broken(198097605),1. The optical fiber between the BBU and the RRU or between upper-level and lower-level RRUs is not operating properly. 2. The optical module of the RRU or the optical module of the uplink BBU is faulty. 3. The RRU is not powered. 4. The interface board of the BBU is faulty. 5. The RRU is faulty. 6. The lr line bit rate is not correctly set.,2023-07-04 08:33:59,"",ME(MO SDR),"Uplink port of optical port 1:loses lock of received frames; Board serial number: 219236614180; L eNBId:510063; Topology: Optical board=(1,1,6), Optical board port=1, Optical board port type is SFP, Fault board rack=61, Fault board main cascade=1; L: Cell ID=15",Unacknowledged,"","","","","","","",LTE FDD,976,1662661136891,10.225.107.94,"","MO SDR_OMMB1_VNPT,QNM(51000)",MO SDR_OMMB1_VNPT,Platform Alarm,"",00:00:09,2023-07-04 08:34:08,"","","",Normal,510063,4G-TKY021M-QNM,RU,61,SubRack-1,R8862A S1800(B6A),"product:public,ltefdd",fddid=510063#fdduserlabel=4G-TKY021M-QNM#fddfid=510063#nid=510063#nuserlabel=4G-TKY021M-QNM#nfid=510063,The RRU link is broken,""
