History Alarm
Perceived Severity,Alarm Type,NE,Location,Additional NE,Additional Location,Alarm Code,Specific Problem,Raised Time,Changed Time,NE Type,Remark,ACK State,(Un)ACK Time,(Un)ACK User ID,(Un)ACK System ID,Comment Time,Comment,Comment User ID,Comment System ID,Product,Alarm Aid,Alarm ID,NE IP,Link,NE Group,NE Agent,System Type,Additional Information,Duration(hh:mm:ss),Cleared Time,Clear User ID,Clear System ID,Path Name,Clear Type,Custom Attribute 1,Custom Attribute 2,Custom Attribute 3,Custom Attribute 4,Custom Attribute 5,Custom Attribute 6,Custom Attribute 7,Custom Attribute 8,Custom Attribute 9,Custom Attribute 10
Minor,Communications Alarm,GU_QDN022M_HUE(158),"","","",Cell interruption alarm(198087342),1. The link between the BSC and the site that the cell belongs to is broken. 2. The BCCH TRX of the cell is faulty. 3. The cell is manually blocked. 4. The configuration of related cell parameters is incorrect.,2023-07-04 04:03:00,"",BTS(GV3),Site ID:158; Bts ID:8; Trx ID:255; Rack ID:255; Shelf ID:255; Panel ID:255,Unacknowledged,"","","","","","","",GSM,12486,1662661135646,"","","OMCR_BSC_356Z_DNG,BSC_356(399),BSC_356Z_DNG(399),BSC_356Z_DNG(399)",OMCR_BSC_356Z_DNG,GSM Controller Alarm(V3),"",04:34:22,2023-07-04 08:37:22,"","","",Normal,158,GU_QDN022M_HUE,CELL,8,2G_QDN022M12_HUE,"","product:gv3,gv3",CRC=0#MO=301#OTYPE=GBtsSiteManager#NENAME=BSC_356Z_DNG#RAISETIME=2023-07-04 04:03:00#CID=8#CNAME=2G_QDN022M12_HUE,Cell interruption alarm,1. The link between the BSC and the site that the cell belongs to is broken. 2. The BCCH TRX of the cell is faulty. 3. The cell is manually blocked. 4. The configuration of related cell parameters ...
Major,Equipment Alarm,GU_QDN022M_HUE(283),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=5","","",Carrier uplink data is abnormal(198093053),1.Routing configuration error. 2.Frame header data error. 3.Bottom data link error.,2023-07-04 04:06:19,"",ME(MO SDR),"G BSCId: 356; uplink 60ms alarm carrier No:2; RRURackNo:3, BTSNo:8, TRXNo:2; Board serial number: 254355903492; G siteId:158",Unacknowledged,"","","","","","","",GSM,95,1662661135660,10.248.183.171,"","OMCB_RNC_3355Z_DNG,RNC_3355Z_HUE(3355)",OMCB_RNC_3355Z_DNG,GSM Basestation Alarm,"",04:31:02,2023-07-04 08:37:21,"","","",Normal,283,GU_QDN022M_HUE,SDR,283,GU_QDN022M_HUE,UBPG,"product:gv3,gv3",uid=283#uuserlabel=#ufid=283#gid=158#guserlabel=#gfid=158,Carrier uplink data is abnormal,""
Major,Equipment Alarm,GU_QDN022M_HUE(283),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=5","","",Carrier uplink data is abnormal(198093053),1.Routing configuration error. 2.Frame header data error. 3.Bottom data link error.,2023-07-04 04:07:31,"",ME(MO SDR),"G BSCId: 356; uplink 60ms alarm carrier No:1; RRURackNo:3, BTSNo:8, TRXNo:1; Board serial number: 254355903492; G siteId:158",Unacknowledged,"","","","","","","",GSM,96,1662661135664,10.248.183.171,"","OMCB_RNC_3355Z_DNG,RNC_3355Z_HUE(3355)",OMCB_RNC_3355Z_DNG,GSM Basestation Alarm,"",04:29:50,2023-07-04 08:37:21,"","","",Normal,283,GU_QDN022M_HUE,SDR,283,GU_QDN022M_HUE,UBPG,"product:gv3,gv3",uid=283#uuserlabel=#ufid=283#gid=158#guserlabel=#gfid=158,Carrier uplink data is abnormal,""
Minor,Equipment Alarm,4G-BSN049M-QNI(520134),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=13","","",Mains Failure Alarm(198092550),1. The normally open or closed setting of the alarm related to the dry contact is not correctly set.  2. The cable is not correctly connected or is faulty. 3. The dry contact device is faulty.,2023-07-04 07:23:23,"",ME(MO SDR),"G BSCId: 351; U RNCId: 3003; Dry contact ID: 0; Board serial number: 717861000795; U nodeBId:285,G siteId:133,L eNBId:520134",Unacknowledged,"","","","","","","","UMTS,GSM,LTE FDD",41,1662661136474,10.225.115.77,"","MO SDR_OMMB1_VNPT,QNI(52000)",MO SDR_OMMB1_VNPT,Platform Alarm,"",01:14:00,2023-07-04 08:37:23,"","","",Normal,520134,4G-BSN049M-QNI,SDR,520134,4G-BSN049M-QNI,SA,"product:public,wcdma,gv3,ltefdd",uid=285#uuserlabel=#ufid=285#gid=133#guserlabel=#gfid=133#fddid=520134#fdduserlabel=4G-BSN049M-QNI#fddfid=520134,Mains Failure Alarm,""
Critical,Processing Error Alarm,4G-DHA016M-PYN(490799),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",The license file will soon fall due(198097673),The license file will soon fall due.,2023-07-04 08:04:10,"",ME(MO SDR),"The temporary file is about to expire, and the default mode will be used; Expiration date: 2023-7-31; Board serial number: 739543300579; L eNBId:490799",Acknowledged,2023-07-04 08:36:34,Rule:System:Global,EMS Server(10.212.162.144),"","","","",LTE FDD,5,1662661136750,10.225.125.82,"","MO SDR_OMMB2_VNPT,PYN(49000)",MO SDR_OMMB2_VNPT,Platform Alarm,"",00:32:24,2023-07-04 08:36:34,"","","",By Sync Alarm,490799,4G-DHA016M-PYN,SDR,490799,4G-DHA016M-PYN,CCE1B,"product:public,ltefdd",fddid=490799#fdduserlabel=4G-DHA016M-PYN#fddfid=490799,The license file will soon fall due,""
Major,Equipment Alarm,GU_DXN028M_QNM(132),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 08:09:54,"",ME(MO SDR),"U RNCId: 3352; Control voltage abnormal; Board serial number: 254314600760; U nodeBId:132,G siteId:232",Unacknowledged,"","","","","","","","UMTS,GSM",27172,1662661136777,10.248.190.180,"","OMCB_RNC_3352Z_QNM,Subnet(MO SDR)(3352)",OMCB_RNC_3352Z_QNM,Platform Alarm,"",00:22:05,2023-07-04 08:31:59,"","","",Restoration upon Anti-shake,132,GU_DXN028M_QNM,SDR,132,GU_DXN028M_QNM,CC,"product:public,wcdma,gv3",uid=132#uuserlabel=GU_DXN028M_QNM#ufid=132#gid=232#guserlabel=#gfid=232,Lost of synchronization,""
Major,Equipment Alarm,GU_DBN023M_QNM(26),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 08:12:20,"",ME(MO SDR),"G BSCId: 352; U RNCId: 3352; Control voltage abnormal; Board serial number: 254178300017; U nodeBId:26,G siteId:26",Unacknowledged,"","","","","","","","UMTS,GSM",31189,1662661136782,10.248.191.195,"","OMCB_RNC_3352Z_QNM,Subnet(MO SDR)(3352)",OMCB_RNC_3352Z_QNM,Platform Alarm,"",00:22:08,2023-07-04 08:34:28,"","","",Restoration upon Anti-shake,26,GU_DBN023M_QNM,SDR,26,GU_DBN023M_QNM,CC,"product:public,wcdma,gv3",uid=26#uuserlabel=GU_DBN023M_QNM#ufid=26#gid=26#guserlabel=#gfid=26,Lost of synchronization,""
Major,Equipment Alarm,GU_NTM004M_QNM(187),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=2","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 08:12:39,"",ME(MO SDR),"G BSCId: 353; U RNCId: 3353; Control voltage abnormal; Board serial number: 251967300237; U nodeBId:187,G siteId:187",Unacknowledged,"","","","","","","","UMTS,GSM",24466,1662661136785,10.248.192.150,"","OMCB_RNC_3353Z_QNM,Subnet(MO SDR)(3353)",OMCB_RNC_3353Z_QNM,Platform Alarm,"",00:22:04,2023-07-04 08:34:43,"","","",Restoration upon Anti-shake,187,GU_NTM004M_QNM,SDR,187,GU_NTM004M_QNM,CC,"product:public,wcdma,gv3",uid=187#uuserlabel=#ufid=187#gid=187#guserlabel=#gfid=187,Lost of synchronization,""
Major,Equipment Alarm,3G_HNN074M_BDH(469),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 08:14:49,"",ME(MO SDR),U RNCId: 3350; Control voltage abnormal; Board serial number: 254178300966; U nodeBId:469,Unacknowledged,"","","","","","","",UMTS,13784,1662661136789,10.248.200.77,"","OMCB_RNC_3002Z_PYN,Subnet(MO SDR)(3002)",OMCB_RNC_3002Z_PYN,Platform Alarm,"",00:22:04,2023-07-04 08:36:53,"","","",Restoration upon Anti-shake,469,3G_HNN074M_BDH,SDR,469,3G_HNN074M_BDH,CC,"product:public,wcdma",uid=469#uuserlabel=#ufid=469,Lost of synchronization,""
Major,Processing Error Alarm,GU_QTH005M_QBH(254),"Equipment=1,Rack(MO SDR)=2,Shelf(MO SDR)=1,Board(MO SDR)=7","","",The board is being initialized(198092348),1. The board resetting command is executed. 2. The board is powered on. 3. The board automatically resets due to software error.,2023-07-04 08:25:05,"",ME(MO SDR),"G BSCId: 356; U RNCId: 3022; Board serial number: 254016400625; U nodeBId:254,G siteId:94",Unacknowledged,"","","","","","","","UMTS,GSM",12121,1662661136853,10.248.177.68,"","OMCB_RNC_3022Z_QBH,RNC3022_QBH(3022)",OMCB_RNC_3022Z_QBH,Platform Alarm,"",00:07:57,2023-07-04 08:33:02,"","","",Restoration upon Anti-shake,254,GU_QTH005M_QBH,SDR,254,GU_QTH005M_QBH,FCE,"product:public,wcdma,gv3",uid=254#uuserlabel=#ufid=254#gid=94#guserlabel=#gfid=94,The board is being initialized,""
